;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
154;155;Прокопьевск;Kemerovo;Prokop'evsk;"[ 0.57929149  0.60326992  0.          0.          0.17438411  0.
  0.17438411  0.4895581   0.          0.          0.          0.
  0.          0.01440347 -0.          0.1612775  -0.          0.0788741
  0.63354765 -0.         -0.          0.74660469  0.83199559  0.81041692
  0.732612    0.62990749 -0.         -0.        ]";[0.28440940551516913, 0.6373697698698161, 0.11076109894626412, 0.060597126164205595, 0.25929167443910167, 0.015430296724884022, 0.16202898038149569, 0.4392547391881832, 0.03444813439305501, 0.0703319975845666, 0.04047386413168342, 0.031169634723058587, 0.0, 0.12230965981256701, 0.08661256600057499, 0.1771726033260749, 0.03605792083084749, 0.1718750154486409, 0.35369876365883185, 0.12828774162139825, 0.039602855689644854, 0.5260133241719647, 0.4075197754095415, 0.4619993150036174, 0.6812748259280207, 0.4075261768074887, 0.07556072613317845, 0.09891517094690956]
155;156;Данилов;Yaroslavl;;"[ 0.          0.83933019  0.          0.          0.          0.
  0.          0.54362196  0.          0.          0.          0.
  0.          0.16404076 -0.          0.48389501 -0.          0.35280268
 -0.         -0.         -0.          1.32257965  0.89731022  0.95486429
  1.90012636  0.40484608 -0.         -0.        ]";[0.30238236627980064, 0.6982120630552705, 0.07423322753387955, 0.031185313030333908, 0.1376376588931419, 0.0, 0.10145539446587128, 0.4355482318489545, 0.0, 0.04240951524498138, 0.007341300653469369, 0.0, 0.0, 0.09151621696842832, 0.07198705715303742, 0.23151909851004385, 0.06351194278120101, 0.24636868990718053, 0.4263528236974182, 0.14804066460290258, 0.04798278491446843, 0.7395459765834355, 0.5036435035913365, 0.6016134083061372, 1.0303992907937203, 0.6073246551947471, 0.020245754868052, 0.2092470481792834]
156;157;Воронеж;Voronezh;Voronezh;"[ 0.38569721  0.44137141  0.27284162  0.26096615  0.32834295  0.13189538
  0.32562047  0.35493031  0.14892967  0.23901959  0.23491041  0.14892967
  0.         -0.          1.72883295 -0.          0.59395763 -0.
 -0.          0.68044637  1.61696681 -0.         -0.         -0.
 -0.         -0.          0.61929394  2.17712723]";[0.25057434441241944, 0.6277373955891999, 0.05067122624178755, 0.026096614622341315, 0.24029994759258475, 0.013189537779550157, 0.15436916124985184, 0.4969459728467137, 0.01489296748208101, 0.023901959392276687, 0.06135501385325075, 0.01489296748208101, 0.0, 0.23858512266293638, 0.17288329463102187, 0.24945751321552406, 0.05939576269853684, 0.25572527266357187, 0.5086376516489503, 0.16579655330899298, 0.16169668083012567, 0.6794485703337241, 0.647650880879773, 0.8228182081416533, 1.0692211600180164, 0.4841315098201872, 0.07082054556473152, 0.21771272262723246]
157;158;Бавлы;Tatarstan;;"[ 0.          0.68230309  0.          0.          0.44551909  0.
  0.          0.5796337   0.          0.          0.          0.
  0.          0.30798357 -0.          0.38087366 -0.          0.24922724
  0.20263891 -0.         -0.          0.69465063  0.55117388  0.77493259
  1.15879404  0.12593976 -0.         -0.        ]";[0.16498343813789354, 0.6483341737687999, 0.05873343206463546, 0.043899351236048066, 0.2593036117922224, 0.014230447140472646, 0.1091491988309554, 0.5565984081498823, 0.0, 0.061356506944522625, 0.03197506319300129, 0.008965979964943646, 0.0, 0.15215927536395504, 0.18330231686799614, 0.2894093213908159, 0.1228745865994647, 0.26436847372241534, 0.2142677330925081, 0.2194136598935184, 0.17091151930835077, 0.7498534325656112, 0.4956416159428618, 0.6855263374291313, 1.1624930544362873, 0.3261443011363821, 0.1615044145738898, 0.26723781383888967]
158;159;Белореченск;Krasnodar;Belorechenskiy;"[ 0.58808724  0.62477148  0.08348301  0.          0.16696602  0.
  0.08348301  0.47116612  0.          0.          0.          0.
  0.         -0.         -0.          0.04781659 -0.          0.0600546
  0.91746752 -0.         -0.          0.64931511  0.82463623  0.91555156
  0.49209022  0.77450642 -0.         -0.        ]";[0.20358954260884107, 0.6026772751143158, 0.04416642734344609, 0.012997540516998531, 0.20717311946317288, 0.01269991559706523, 0.10937170321564406, 0.5323140127274352, 0.02540170042685203, 0.08642522361201681, 0.08540516001354657, 0.03680010487006728, 0.0020159793319283015, 0.13435780173765202, 0.04338334852319017, 0.23855922522214934, 0.022620599531494198, 0.31281321652110666, 0.4345059483900999, 0.07947544702662777, 0.05119575042564706, 0.7326899354687476, 0.45988401320080047, 0.7500024104223747, 1.1129719842874206, 0.6446529766036353, 0.015369157433238106, 0.057197839996817545]
159;160;Железногорск;Krasnoyarsk;Zheleznogorsk;"[ 0.          0.66750322  0.          0.          0.29552698  0.
  0.          0.68344952  0.          0.          0.          0.
  0.          0.19832328 -0.          0.47236062 -0.          0.4011146
  0.31265866 -0.         -0.          0.98954468  0.73623579  1.04904076
  1.78393754  0.41372879 -0.         -0.        ]";[0.5489490921524983, 0.6316607840045212, 0.10622752636088768, 0.04165013977719606, 0.10463014427499233, 0.004761411831107688, 0.12996972504829052, 0.18321698855929225, 0.010003530307659552, 0.008549526995155115, 0.021021824032056657, 0.009522823662215376, 0.0, 0.07740027411208812, 0.10478650280642235, 0.1008926907427949, 0.07404362042793201, 0.10678778095044514, 0.5050066659648633, 0.23763907790982577, 0.09155829520241783, 0.41743706963278554, 0.47689628739703654, 0.3987247745980743, 0.4398501036050262, 0.40985263032607017, 0.14767933726101837, 0.23691911274099944]
160;161;Калязин;Tver;;"[ 0.35550192  0.65777601  0.          0.          0.09099357  0.
  0.          0.65777601  0.          0.          0.          0.
  0.         -0.         -0.          0.3765789  -0.          0.41323541
  0.63643529 -0.         -0.          1.27396624  0.79016346  1.00669368
  1.17280748  0.9740022  -0.         -0.        ]";[0.40127042834449916, 0.6791372616648969, 0.02717771923507796, 0.0437571484680196, 0.035663199651483714, 0.0, 0.06616670007656437, 0.4044517415688575, 0.0, 0.03242051310393563, 0.003862996629568856, 0.0, 0.0, 0.05822040805154264, 0.06903423646110976, 0.2052113613116169, 0.05753615984884048, 0.20692398424478783, 0.5194099700715136, 0.15419875175592435, 0.06495851318194772, 0.6978350262586968, 0.6256853549769732, 0.7877004841418688, 0.9230314868679069, 0.5948425001120895, 0.06612207779032753, 0.11712589389371139]
161;162;Кувшиново;Tver;;"[ 0.68088577  0.68088577  0.          0.2697946   0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.05631761  0.02933726  0.09149686 -0.         -0.
  0.32921481 -0.         -0.          0.09935028  0.48772501  0.64885874
 -0.          0.1701244  -0.          0.08788702]";[0.40127042834449916, 0.6791372616648969, 0.02717771923507796, 0.0437571484680196, 0.035663199651483714, 0.0, 0.06616670007656437, 0.4044517415688575, 0.0, 0.03242051310393563, 0.003862996629568856, 0.0, 0.0, 0.05822040805154264, 0.06903423646110976, 0.2052113613116169, 0.05753615984884048, 0.20692398424478783, 0.5194099700715136, 0.15419875175592435, 0.06495851318194772, 0.6978350262586968, 0.6256853549769732, 0.7877004841418688, 0.9230314868679069, 0.5948425001120895, 0.06612207779032753, 0.11712589389371139]
162;163;Гагарин;Smolensk;Gagarinskiy;"[ 0.          0.68852834  0.          0.          0.15220405  0.
  0.          0.70905758  0.          0.          0.          0.
  0.          0.14126989 -0.          0.49118023 -0.          0.45767486
  0.34807608 -0.         -0.          1.09621913  0.75740664  1.21771009
  1.95497487  0.58311441 -0.         -0.        ]";[0.21558069221994092, 0.6476050588552675, 0.0367774417350123, 0.01488046568557089, 0.08524216953257563, 0.0, 0.07625186656480468, 0.587381086153602, 0.007816694786904216, 0.029946272744371703, 0.019893445962237074, 0.003908347393452108, 0.0, 0.06251228685185593, 0.09764147912506015, 0.33901821753435674, 0.06827661356814949, 0.3388793812684507, 0.41541597917564954, 0.20427642452185343, 0.08727764013557553, 0.9190159788375093, 0.6748689844447033, 0.9577835994810374, 1.4795727679803738, 0.6198823932683227, 0.15265374033349594, 0.10658341540011247]
163;164;Мамадыш;Tatarstan;Mamadyshsky District;"[ 0.58533582  0.66242115  0.          0.          0.          0.
  0.21839717  0.41337981  0.          0.          0.          0.
  0.          0.04633928 -0.          0.10425494 -0.          0.02641294
  0.65235681 -0.         -0.          0.8081619   0.9593577   1.01100831
  0.80179035  0.65812916 -0.         -0.        ]";[0.16498343813789354, 0.6483341737687999, 0.05873343206463546, 0.043899351236048066, 0.2593036117922224, 0.014230447140472646, 0.1091491988309554, 0.5565984081498823, 0.0, 0.061356506944522625, 0.03197506319300129, 0.008965979964943646, 0.0, 0.15215927536395504, 0.18330231686799614, 0.2894093213908159, 0.1228745865994647, 0.26436847372241534, 0.2142677330925081, 0.2194136598935184, 0.17091151930835077, 0.7498534325656112, 0.4956416159428618, 0.6855263374291313, 1.1624930544362873, 0.3261443011363821, 0.1615044145738898, 0.26723781383888967]
164;165;Руза;Moscow Oblast;Ruzskiy;"[ 0.69514957  0.71210167  0.          0.          0.          0.
  0.09837826  0.          0.          0.          0.          0.
  0.          0.18050307 -0.         -0.         -0.         -0.
  1.07195761  0.40487078 -0.          0.45256524  0.84065262  0.6990986
 -0.          0.87308797 -0.         -0.        ]";[0.2822264806660947, 0.6995024539531512, 0.0, 0.0, 0.07249089555311017, 0.0, 0.07117277128507331, 0.34651667511450274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2067503623007747, 0.010816996204625184, 0.2553758548924321, 0.017314717098162503, 0.24093120593482342, 0.5695794137953136, 0.20482324126015097, 0.02066165616704293, 0.7915495300462139, 0.7496818772144688, 0.8843768000870225, 1.0760706165055496, 0.6359419629706863, 0.057512766459907286, 0.02471439050208056]
165;166;Мелеуз;Bashkortostan;Kuyurgazinsky District;"[ 0.          0.49884544  0.          0.          0.60844511  0.
  0.5662656   0.2076642   0.          0.          0.13102152  0.
  0.          1.07557002 -0.         -0.         -0.         -0.
  0.36559078  0.48223761 -0.         -0.          0.27368321  0.45057609
  0.48651296 -0.          0.25632233 -0.        ]";[0.2925986035747229, 0.5804093513059114, 0.04090581511704457, 0.04090581511704457, 0.24805172603846354, 0.008985440469243678, 0.25537662097805053, 0.4522575294420797, 0.0, 0.008985440469243678, 0.07887684766814856, 0.005669181740990913, 0.0, 0.29024643218289864, 0.10697356605266335, 0.22621421689667381, 0.034694686969716185, 0.17554095736154193, 0.37435091099188067, 0.17761539618346148, 0.09361600200635219, 0.5623489057068544, 0.5298135663784409, 0.6583740326948584, 0.9128048901637035, 0.35843049614785644, 0.08608379810903928, 0.2074228537456813]
166;167;Мглин;Bryansk;Mglinskiy;"[ 0.          0.69616096  0.          0.          0.09837206  0.
  0.          0.71111382  0.          0.          0.          0.
  0.          0.15349709 -0.          0.47657897 -0.          0.52578651
  0.32169654 -0.         -0.          1.25819127  0.8151556   1.2078554
  2.09850006  0.69224499 -0.         -0.        ]";[0.3861942053062064, 0.705016910860762, 0.0, 0.0, 0.04372091736651413, 0.0, 0.054654589674261816, 0.3160505846246833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16850040959826687, 0.0, 0.21181287421047532, 0.0, 0.233682893000098, 0.7385082448230759, 0.2249282126221548, 0.0, 0.8106212543292516, 0.8293206123761129, 0.9252127346235741, 0.9326666927503202, 0.7927133124959024, 0.0, 0.0]
167;168;Воткинск;Udmurt;;"[ 0.63188503  0.6455853   0.21062834  0.21062834  0.          0.
  0.30856495  0.          0.          0.          0.          0.
  0.          0.15196007  0.30468709 -0.         -0.         -0.
  0.35221928  0.30611106 -0.         -0.          0.40534285  0.56607267
 -0.         -0.         -0.         -0.        ]";[0.64556884241413, 0.6049249069116707, 0.11177060790241913, 0.10708494272294229, 0.057769424057937446, 0.0, 0.1302963998909957, 0.15822706754352087, 0.0, 0.04076022704597002, 0.0, 0.0, 0.0, 0.03039201326837601, 0.26461236864538307, 0.0225750175411326, 0.03695631443272799, 0.060696262134101384, 0.4666693689692571, 0.2859513155066937, 0.09828017941705829, 0.30671104782413755, 0.3413748123578182, 0.20820345497737575, 0.08825865552359044, 0.3880447864782554, 0.1575640459360419, 0.28043153872666327]
168;169;Когалым;Khanty-Mansi;Surgutskiy;"[ 0.          0.23086327  0.          0.          0.23086327  0.
  0.64811513  0.64811513  0.          0.          0.23086327  0.
  0.          0.56319941 -0.          0.29877903  0.17120954  0.52225175
 -0.         -0.         -0.          0.54273976  0.25137588  0.78126795
  1.8029388  -0.         -0.         -0.        ]";[0.14973218315187825, 0.5283197506823804, 0.14822744231024662, 0.0710267760521032, 0.1174930809162878, 0.0, 0.26228229786450447, 0.5351357042410694, 0.014272757994032347, 0.07082342862432442, 0.0948676906124533, 0.055220015012578984, 0.024329736469223085, 0.1286543546717276, 0.13907764116102247, 0.3074644631721662, 0.07792040893334129, 0.28285165229420434, 0.10313830863460818, 0.21340941208349593, 0.12917144657684554, 0.7176638140923411, 0.49829475148386243, 0.5527371012107727, 1.303770541721905, 0.14155131560287482, 0.10586933723647239, 0.24078499582769897]
169;170;Емва;Komi;Knyazhpogostskiy;"[ 0.          0.65674571  0.          0.          0.54318615  0.
  0.46787509  0.23393754  0.          0.          0.          0.
  0.          0.78504687 -0.          0.14680763 -0.         -0.
  0.10100632  0.15896962 -0.          0.01743029  0.53305951  0.80684831
  0.61239848 -0.         -0.         -0.        ]";[0.3617499249688678, 0.6105744009734038, 0.10781332667777781, 0.10074092639646984, 0.24897986934363897, 0.0, 0.3220667406123855, 0.19990939826824938, 0.0, 0.0, 0.06568052792368725, 0.016525492037084845, 0.0, 0.1907529856077503, 0.15061082192820288, 0.15864190803148698, 0.08619577725001507, 0.07245584144081563, 0.2424081176422455, 0.31074436128761046, 0.07845655436295773, 0.34560094520708595, 0.42210446892001424, 0.3543257920953423, 0.4677101632784014, 0.18799845323740266, 0.1557987766065466, 0.43041710709990727]
170;171;Феодосия;Crimea;Feodosiiska;"[ 0.44515624  0.48494837  0.26408058  0.09684516  0.35640412  0.06110249
  0.30551247  0.33358489  0.09684516  0.1418756   0.27248239  0.2113799
  0.06110249  0.18270434 -0.         -0.         -0.          0.13374808
  0.82641682  0.16315303 -0.         -0.         -0.          0.45266183
 -0.          0.64896922 -0.         -0.        ]";[0.27980858618474946, 0.4865806800600485, 0.14635640499170532, 0.06918978944977981, 0.426052958529635, 0.03825024139540581, 0.2211856412358397, 0.46036216561731963, 0.030710140593809845, 0.1355753943908679, 0.0925883774607021, 0.06946666856315942, 0.005554772146519228, 0.16166300720488916, 0.10464913435880337, 0.08412720915913885, 0.049161641221954294, 0.138161729247917, 0.4977165832442898, 0.07518174770955048, 0.06053191409692296, 0.2583237762815311, 0.23180596158458536, 0.44637657650622287, 0.4208583882862408, 0.5109915853814272, 0.0, 0.045121474369426824]
171;172;Кизляр;Dagestan;;"[ 0.          0.63248658  0.          0.          0.30060051  0.
  0.          0.69339603  0.          0.16971154  0.          0.
  0.          0.09963231 -0.          0.34705226 -0.          0.46241075
  0.40570515 -0.         -0.          1.007668    0.38192497  0.84347088
  1.55607346  0.83139832 -0.         -0.        ]";[0.05941319317444701, 0.6147479938004147, 0.03093514470816664, 0.0, 0.18853784271622936, 0.0, 0.09385275622597745, 0.6563101184141332, 0.0, 0.05505882978022003, 0.047762604697946, 0.03093514470816664, 0.013323041646415549, 0.14466733969769835, 0.0, 0.3771320891911636, 0.019648086925106008, 0.4377161698471578, 0.36224569966653924, 0.05444936207100544, 0.0, 0.9896671360254686, 0.5524542821706365, 0.8987010940840342, 1.7126641472396273, 0.6483821685505659, 0.0, 0.0]
172;173;Пено;Tver;Penovskiy;"[ 0.          0.72433404  0.          0.          0.          0.
  0.          0.6894492   0.          0.          0.          0.
  0.          0.09210062 -0.          0.52100721 -0.          0.47829795
  0.07615613 -0.         -0.          1.34641594  0.87610312  1.08511334
  2.23232189  0.46151666 -0.         -0.        ]";[0.40127042834449916, 0.6791372616648969, 0.02717771923507796, 0.0437571484680196, 0.035663199651483714, 0.0, 0.06616670007656437, 0.4044517415688575, 0.0, 0.03242051310393563, 0.003862996629568856, 0.0, 0.0, 0.05822040805154264, 0.06903423646110976, 0.2052113613116169, 0.05753615984884048, 0.20692398424478783, 0.5194099700715136, 0.15419875175592435, 0.06495851318194772, 0.6978350262586968, 0.6256853549769732, 0.7877004841418688, 0.9230314868679069, 0.5948425001120895, 0.06612207779032753, 0.11712589389371139]
173;174;Туринск;Sverdlovsk;;"[ 0.62852725  0.76561174  0.          0.          0.          0.
  0.13708449  0.          0.          0.          0.          0.
  0.          0.26102873 -0.         -0.         -0.         -0.
  1.01890719  0.39444303 -0.          0.41209522  0.77466689  0.7890355
 -0.          0.83628111 -0.         -0.        ]";[0.08145428137485804, 0.6254137895858735, 0.00916632366411394, 0.005510301586231294, 0.18243348631084783, 0.00193069564796093, 0.051040443849133664, 0.6650760486999077, 0.0050311133282356, 0.026835299688065854, 0.006500244461033475, 0.0, 0.0, 0.11704341875884901, 0.11110905607669028, 0.4074927662756772, 0.07051229231536786, 0.41564060988669144, 0.3271900963145027, 0.1991744286769409, 0.11175786200014648, 0.9186185594202, 0.5924913574708934, 0.9801027069469098, 1.5837670156622896, 0.526420298136845, 0.1505034296476513, 0.10484967008058588]
174;175;Балей;Zabaykalsky;;"[ 0.          0.          0.          0.          0.          0.
  0.          1.          0.          0.          0.          0.
  0.         -0.         -0.          0.32528384  0.19659073  0.69463146
 -0.         -0.         -0.          0.8072081  -0.          0.44571601
  1.62249502  0.56483501 -0.         -0.        ]";[0.0, 0.09221031115523913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8233976832990179, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08565393103420475, 0.19163189567790484, 0.24241188239101333, 0.1725920310441246, 0.5181198484022469, 0.009347923902875538, 0.2343812514823962, 0.19602391025060426, 0.6345114610717493, 0.12606060180126874, 0.31836858099174714, 1.1777142733017598, 0.40345357584184816, 0.054494451352852816, 0.1368141604888075]
175;176;Березники;Perm;Berezniki;"[ 0.44250364  0.60277413  0.          0.          0.11326236  0.
  0.17951659  0.62912583  0.          0.          0.          0.
  0.          0.06682651 -0.          0.20812019 -0.          0.27791576
  0.74823329 -0.         -0.          0.85782528  0.81979674  1.21733252
  1.20654849  0.83434257 -0.         -0.        ]";[0.295364165739039, 0.6649680198339663, 0.04903844278243007, 0.012475557265975898, 0.1928550969752586, 0.0, 0.1389805771009249, 0.46156746350097855, 0.002886572148373754, 0.014745622218026925, 0.01727037455468014, 0.0, 0.0, 0.17326135459597447, 0.09327667008650517, 0.22760154434880242, 0.05304916786522832, 0.24666376194208225, 0.45516081088214344, 0.17657261789254514, 0.08829675931228943, 0.6268972535059228, 0.5099317403607668, 0.7503759850240693, 0.9493873060493975, 0.45785856760683813, 0.12180321284677711, 0.1513077003294423]
